aalib 1.4rc5-16
haskell-comonad 5.0.8-185
haskell-conduit 1.3.5-1
haskell-conduit-extra 1.3.6-80
haskell-connection 0.3.1-238
haskell-constraints 0.13.4-28
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-cryptohash-sha256 0.11.102.1-70
haskell-cryptonite 0.30-50
haskell-cryptonite-conduit 0.2.2-575
haskell-data-array-byte 0.1.0.1-13
haskell-data-default 0.7.1.1-275
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-288
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-81
haskell-dbus 1.2.22-165
haskell-dec 0.0.5-3
haskell-diff 0.4.1-54
haskell-digest 0.0.1.7-1
haskell-distributive 0.6.2.1-187
haskell-dlist 1.0-210
haskell-doclayout 0.4-32
haskell-doctemplates 0.11-22
haskell-easy-file 0.2.4-2
haskell-echo 0.1.4-4
haskell-ed25519 0.0.5.0-24
haskell-emojis 0.1.2-53
haskell-enclosed-exceptions 1.0.3-232
haskell-erf 2.0.0.0-24
haskell-extensible-exceptions 0.1.1.4-36
haskell-extra 1.7.13-6
haskell-fast-logger 3.1.2-23
haskell-fgl 5.8.1.1-5
haskell-file-embed 0.0.15.0-1
haskell-filelock 0.1.1.5-171
haskell-free 5.1.10-27
haskell-fsnotify0.3 0.3.0.1-21
haskell-generic-deriving 1.14.4-2
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-githash 0.1.6.3-53
haskell-glib 0.13.8.2-48
haskell-glob 0.10.2-69
haskell-gridtables 0.1.0.0-19
haskell-hackage-security 0.6.2.3-38
haskell-haddock-library 1.10.0-220
haskell-hashable 1.4.2.0-19
haskell-hi-file-parser 0.1.3.0-47
haskell-hinotify 0.4.1-150
haskell-hourglass 0.2.12-225
haskell-hpack 0.35.2-36
haskell-hslua 2.2.1-48
haskell-hslua-aeson 2.2.1-48
haskell-hslua-classes 2.3.0-5
haskell-hslua-core 2.2.1-56
haskell-hslua-list 1.1.1-11
haskell-hslua-marshalling 2.2.1-50
haskell-hslua-module-doclayout 1.0.4-98
haskell-hslua-module-path 1.0.3-57
haskell-hslua-module-system 1.0.3-16
haskell-hslua-module-text 1.0.3.1-21
haskell-hslua-module-version 1.0.3-54
haskell-hslua-module-zip 1.0.0-24
haskell-hslua-objectorientation 2.2.1-45
haskell-hslua-packaging 2.2.1-41
haskell-http 4000.4.1-110
haskell-http-api-data 0.5.1-10
haskell-http-client 0.7.13.1-56
haskell-http-client-tls 0.3.6.1-101
haskell-http-conduit 2.3.8-307
haskell-http-date 0.0.11-115
haskell-http-download 0.2.0.0-578
haskell-http-media 0.8.0.0-184
haskell-http-types 0.12.3-303
haskell-http2 3.0.3-47
haskell-hunit 1.6.2.0-185
haskell-indexed-traversable 0.1.2.1-1
haskell-indexed-traversable-instances 0.1.1.1-49
haskell-infer-license 0.2.0-228
haskell-integer-logarithms 1.0.3.1-6
